GPUName,DeviceID
GeForce 930A,"PCI\VEN_10DE&DEV_1346&SUBSYS_30BA17AA 
PCI\VEN_10DE&DEV_1346&SUBSYS_362C17AA 
PCI\VEN_10DE&DEV_1346&SUBSYS_362F17AA 
PCI\VEN_10DE&DEV_1346&SUBSYS_363617AA 
PCI\VEN_10DE&DEV_1349&SUBSYS_312417AA 
PCI\VEN_10DE&DEV_1349&SUBSYS_364B17AA 
PCI\VEN_10DE&DEV_1349&SUBSYS_36C317AA 
PCI\VEN_10DE&DEV_1349&SUBSYS_36D117AA 
PCI\VEN_10DE&DEV_1349&SUBSYS_36D817AA"
GeForce 930M,"PCI\VEN_10DE&DEV_1346&SUBSYS_869D1043
PCI\VEN_10DE&DEV_1346&SUBSYS_9E5417AA
PCI\VEN_10DE&DEV_1346&SUBSYS_ACB51462
PCI\VEN_10DE&DEV_1346&SUBSYS_AE681462"
GeForce 930MX,"PCI\VEN_10DE&DEV_134E&SUBSYS_822F103C
PCI\VEN_10DE&DEV_134E&SUBSYS_8232103C
PCI\VEN_10DE&DEV_134E&SUBSYS_8235103C
PCI\VEN_10DE&DEV_134E&SUBSYS_8380103C
PCI\VEN_10DE&DEV_134E&SUBSYS_83A0103C
PCI\VEN_10DE&DEV_134E&SUBSYS_83A1103C"
GeForce 9400,"PCI\VEN_10DE&DEV_0860
PCI\VEN_10DE&DEV_0860&SUBSYS_2A8D103C
PCI\VEN_10DE&DEV_0860&SUBSYS_2AA1103C
PCI\VEN_10DE&DEV_0861
PCI\VEN_10DE&DEV_086A
PCI\VEN_10DE&DEV_087A"
GeForce 9400 GT,"PCI\VEN_10DE&DEV_042C
PCI\VEN_10DE&DEV_0641
PCI\VEN_10DE&DEV_065B"
GeForce 940A,"PCI\VEN_10DE&DEV_1347&SUBSYS_36B917AA
PCI\VEN_10DE&DEV_1347&SUBSYS_36BA17AA"
GeForce 940M,"PCI\VEN_10DE&DEV_1347&SUBSYS_091B1025
PCI\VEN_10DE&DEV_1347&SUBSYS_091C1025
PCI\VEN_10DE&DEV_1347&SUBSYS_091D1025
PCI\VEN_10DE&DEV_1347&SUBSYS_09631025
PCI\VEN_10DE&DEV_1347&SUBSYS_096D1025
PCI\VEN_10DE&DEV_1347&SUBSYS_09711025
PCI\VEN_10DE&DEV_1347&SUBSYS_09741025
PCI\VEN_10DE&DEV_1347&SUBSYS_09761025
PCI\VEN_10DE&DEV_1347&SUBSYS_097A1025
PCI\VEN_10DE&DEV_1347&SUBSYS_09851025
PCI\VEN_10DE&DEV_1347&SUBSYS_09891025
PCI\VEN_10DE&DEV_1347&SUBSYS_098C1025
PCI\VEN_10DE&DEV_1347&SUBSYS_09931025
PCI\VEN_10DE&DEV_1347&SUBSYS_09991025
PCI\VEN_10DE&DEV_1347&SUBSYS_10081025
PCI\VEN_10DE&DEV_1347&SUBSYS_100D1025
PCI\VEN_10DE&DEV_1347&SUBSYS_101A1025
PCI\VEN_10DE&DEV_1347&SUBSYS_10251025
PCI\VEN_10DE&DEV_1347&SUBSYS_10271025
PCI\VEN_10DE&DEV_1347&SUBSYS_102D1025
PCI\VEN_10DE&DEV_1347&SUBSYS_102F1025
PCI\VEN_10DE&DEV_1347&SUBSYS_10311025
PCI\VEN_10DE&DEV_1347&SUBSYS_10351025
PCI\VEN_10DE&DEV_1347&SUBSYS_103E1025
PCI\VEN_10DE&DEV_1347&SUBSYS_10401025
PCI\VEN_10DE&DEV_1347&SUBSYS_10421025
PCI\VEN_10DE&DEV_1347&SUBSYS_10461025
PCI\VEN_10DE&DEV_1347&SUBSYS_10521025
PCI\VEN_10DE&DEV_1347&SUBSYS_105C1025
PCI\VEN_10DE&DEV_1347&SUBSYS_105D1025
PCI\VEN_10DE&DEV_1347&SUBSYS_10631025
PCI\VEN_10DE&DEV_1347&SUBSYS_10771025
PCI\VEN_10DE&DEV_1347&SUBSYS_107F1025
PCI\VEN_10DE&DEV_1347&SUBSYS_11031025
PCI\VEN_10DE&DEV_1347&SUBSYS_11731025
PCI\VEN_10DE&DEV_1347&SUBSYS_11741025
PCI\VEN_10DE&DEV_1347&SUBSYS_117C1025
PCI\VEN_10DE&DEV_1347&SUBSYS_117E1025"
GeForce 940MX,"PCI\VEN_10DE&DEV_134D&SUBSYS_10811025
PCI\VEN_10DE&DEV_134D&SUBSYS_10831025
PCI\VEN_10DE&DEV_134D&SUBSYS_11891025
PCI\VEN_10DE&DEV_134D&SUBSYS_108F1025
PCI\VEN_10DE&DEV_134D&SUBSYS_10941025
PCI\VEN_10DE&DEV_134D&SUBSYS_110F1025
PCI\VEN_10DE&DEV_134D&SUBSYS_111A1025
PCI\VEN_10DE&DEV_134D&SUBSYS_111B1025
PCI\VEN_10DE&DEV_134D&SUBSYS_11231025
PCI\VEN_10DE&DEV_134D&SUBSYS_112E1025
PCI\VEN_10DE&DEV_134D&SUBSYS_11331025
PCI\VEN_10DE&DEV_134D&SUBSYS_11341025
PCI\VEN_10DE&DEV_134D&SUBSYS_113C1025
PCI\VEN_10DE&DEV_134D&SUBSYS_113E1025
PCI\VEN_10DE&DEV_134D&SUBSYS_114A1025
PCI\VEN_10DE&DEV_134D&SUBSYS_114C1025
PCI\VEN_10DE&DEV_134D&SUBSYS_11581025
PCI\VEN_10DE&DEV_134D&SUBSYS_11681025
PCI\VEN_10DE&DEV_134D&SUBSYS_116A1025
PCI\VEN_10DE&DEV_134D&SUBSYS_117C1025
PCI\VEN_10DE&DEV_134D&SUBSYS_117E1025
PCI\VEN_10DE&DEV_134D&SUBSYS_119A1025
PCI\VEN_10DE&DEV_134D&SUBSYS_12181025
PCI\VEN_10DE&DEV_134D&SUBSYS_121A1025
PCI\VEN_10DE&DEV_134D&SUBSYS_121F1025
PCI\VEN_10DE&DEV_134D&SUBSYS_12201025
PCI\VEN_10DE&DEV_134D&SUBSYS_122F1025
PCI\VEN_10DE&DEV_134D&SUBSYS_12501025
PCI\VEN_10DE&DEV_134D&SUBSYS_12521025
PCI\VEN_10DE&DEV_179C&SUBSYS_108F1025
PCI\VEN_10DE&DEV_179C&SUBSYS_10941025
PCI\VEN_10DE&DEV_179C&SUBSYS_110F1025
PCI\VEN_10DE&DEV_179C&SUBSYS_111A1025
PCI\VEN_10DE&DEV_179C&SUBSYS_111B1025
PCI\VEN_10DE&DEV_179C&SUBSYS_11331025
PCI\VEN_10DE&DEV_179C&SUBSYS_11341025"
GeForce 945A,PCI\VEN_10DE&DEV_1348&SUBSYS_2B5C103C
GeForce 945M,"PCI\VEN_10DE&DEV_1399&SUBSYS_10371025
PCI\VEN_10DE&DEV_1399&SUBSYS_103A1025
PCI\VEN_10DE&DEV_1399&SUBSYS_103B1025"
GeForce 9500 GS,"PCI\VEN_10DE&DEV_0644
PCI\VEN_10DE&DEV_0644&SUBSYS_13301462
PCI\VEN_10DE&DEV_0645
PCI\VEN_10DE&DEV_0645&SUBSYS_900C1B0A"
GeForce 9500 GT,"PCI\VEN_10DE&DEV_0640
PCI\VEN_10DE&DEV_0640&SUBSYS_37961642
PCI\VEN_10DE&DEV_0643"
GeForce 9600 GS,"PCI\VEN_10DE&DEV_0623
PCI\VEN_10DE&DEV_0623&SUBSYS_90151B0A"
GeForce 9600 GSO,"PCI\VEN_10DE&DEV_0610
PCI\VEN_10DE&DEV_0635"
GeForce 9600 GSO 512,PCI\VEN_10DE&DEV_0625
GeForce 9600 GT,"PCI\VEN_10DE&DEV_0622
PCI\VEN_10DE&DEV_062D
PCI\VEN_10DE&DEV_062E
PCI\VEN_10DE&DEV_0637"
GeForce 9600M GS,PCI\VEN_10DE&DEV_0648&SUBSYS_900F1043
GeForce 9600M GT,PCI\VEN_10DE&DEV_0649&SUBSYS_90131043
GeForce 9800 GT,"PCI\VEN_10DE&DEV_0601
PCI\VEN_10DE&DEV_0605
PCI\VEN_10DE&DEV_0614"
GeForce 9800 GTX,PCI\VEN_10DE&DEV_0612
GeForce 9800 GTX+,PCI\VEN_10DE&DEV_0613
GeForce 9800 GX2,PCI\VEN_10DE&DEV_0604
GeForce 9800 S,PCI\VEN_10DE&DEV_062F
GeForce 9800M GTS,"PCI\VEN_10DE&DEV_0628&SUBSYS_01881631
PCI\VEN_10DE&DEV_0628&SUBSYS_02A11028
PCI\VEN_10DE&DEV_0628&SUBSYS_04811558
PCI\VEN_10DE&DEV_0628&SUBSYS_05731558
PCI\VEN_10DE&DEV_0628&SUBSYS_0696107B
PCI\VEN_10DE&DEV_0628&SUBSYS_08601558
PCI\VEN_10DE&DEV_0628&SUBSYS_09021558
PCI\VEN_10DE&DEV_0628&SUBSYS_19E21043
PCI\VEN_10DE&DEV_0628&SUBSYS_20041043
PCI\VEN_10DE&DEV_0628&SUBSYS_20121043
PCI\VEN_10DE&DEV_062C&SUBSYS_01881631
PCI\VEN_10DE&DEV_062C&SUBSYS_02A11028
PCI\VEN_10DE&DEV_062C&SUBSYS_04811558
PCI\VEN_10DE&DEV_062C&SUBSYS_05731558
PCI\VEN_10DE&DEV_062C&SUBSYS_0696107B
PCI\VEN_10DE&DEV_062C&SUBSYS_08601558
PCI\VEN_10DE&DEV_062C&SUBSYS_09021558
PCI\VEN_10DE&DEV_062C&SUBSYS_11381734
PCI\VEN_10DE&DEV_062C&SUBSYS_20151043
PCI\VEN_10DE&DEV_062C&SUBSYS_20171043
PCI\VEN_10DE&DEV_062C&SUBSYS_22D71019
PCI\VEN_10DE&DEV_062C&SUBSYS_FF011179"
GeForce FX 5100,PCI\VEN_10DE&DEV_0327
GeForce FX 5200,PCI\VEN_10DE&DEV_0322
GeForce FX 5200 Ultra,PCI\VEN_10DE&DEV_0321
GeForce FX 5200LE,PCI\VEN_10DE&DEV_0323
GeForce FX 5500,PCI\VEN_10DE&DEV_0326
GeForce FX 5600,PCI\VEN_10DE&DEV_0312
GeForce FX 5600 Ultra,PCI\VEN_10DE&DEV_0311
GeForce FX 5600XT,PCI\VEN_10DE&DEV_0314
GeForce FX 5700,PCI\VEN_10DE&DEV_0342
GeForce FX 5700 Ultra,PCI\VEN_10DE&DEV_0341
GeForce FX 5700LE,PCI\VEN_10DE&DEV_0343
GeForce FX 5700VE,PCI\VEN_10DE&DEV_0344
GeForce FX 5800,PCI\VEN_10DE&DEV_0302
GeForce FX 5800 Ultra,PCI\VEN_10DE&DEV_0301
GeForce FX 5900,PCI\VEN_10DE&DEV_0331
GeForce FX 5900 Ultra,PCI\VEN_10DE&DEV_0330
GeForce FX 5900XT,PCI\VEN_10DE&DEV_0332
GeForce FX 5900ZT,PCI\VEN_10DE&DEV_0334
GeForce FX 5950 Ultra,PCI\VEN_10DE&DEV_0333
GeForce G 110M,"PCI\VEN_10DE&DEV_0651
PCI\VEN_10DE&DEV_0651&SUBSYS_100C1462
PCI\VEN_10DE&DEV_0651&SUBSYS_387717AA
PCI\VEN_10DE&DEV_0651&SUBSYS_387B17AA
PCI\VEN_10DE&DEV_0651&SUBSYS_C520144D"
GeForce G100,"PCI\VEN_10DE&DEV_06E6
PCI\VEN_10DE&DEV_06E6&SUBSYS_34831458
PCI\VEN_10DE&DEV_06E6&SUBSYS_34841458
PCI\VEN_10DE&DEV_06E6&SUBSYS_37761642
PCI\VEN_10DE&DEV_06E6&SUBSYS_903E1B0A"
GeForce G102M,"PCI\VEN_10DE&DEV_0872&SUBSYS_19B41043
PCI\VEN_10DE&DEV_0872&SUBSYS_1AA21043
PCI\VEN_10DE&DEV_0872&SUBSYS_1C021043
PCI\VEN_10DE&DEV_0873&SUBSYS_19B41043
PCI\VEN_10DE&DEV_0873&SUBSYS_1C121043"
GeForce G105M,"PCI\VEN_10DE&DEV_06EC&SUBSYS_1A221043
PCI\VEN_10DE&DEV_06EC&SUBSYS_1A321043
PCI\VEN_10DE&DEV_06EC&SUBSYS_1A721043
PCI\VEN_10DE&DEV_06EC&SUBSYS_20261043
PCI\VEN_10DE&DEV_06F1&SUBSYS_1A821043
PCI\VEN_10DE&DEV_06F1&SUBSYS_1A921043
PCI\VEN_10DE&DEV_06F1&SUBSYS_1AB21043
PCI\VEN_10DE&DEV_06F1&SUBSYS_20321043"
GeForce G110M,PCI\VEN_10DE&DEV_0651&SUBSYS_904B1B0A
GeForce G210,"PCI\VEN_10DE&DEV_065F
PCI\VEN_10DE&DEV_0A60
PCI\VEN_10DE&DEV_0A74&SUBSYS_903A1B0A"
GeForce G210M,PCI\VEN_10DE&DEV_0A74&SUBSYS_39401642
GeForce GT 1030,"PCI\VEN_10DE&DEV_1D01
PCI\VEN_10DE&DEV_1D01&SUBSYS_1476174B"
GeForce GT 120,"PCI\VEN_10DE&DEV_0646
PCI\VEN_10DE&DEV_0646&SUBSYS_13301462
PCI\VEN_10DE&DEV_0646&SUBSYS_900C1B0A
PCI\VEN_10DE&DEV_0646&SUBSYS_A3301462"
GeForce GT 120M,"PCI\VEN_10DE&DEV_0653&SUBSYS_1A421043
PCI\VEN_10DE&DEV_0653&SUBSYS_202D1043"
GeForce GT 130,"PCI\VEN_10DE&DEV_0626
PCI\VEN_10DE&DEV_0626&SUBSYS_90151B0A"
GeForce GT 130M,"PCI\VEN_10DE&DEV_0652
PCI\VEN_10DE&DEV_0652&SUBSYS_003D14C0
PCI\VEN_10DE&DEV_0652&SUBSYS_020E1025
PCI\VEN_10DE&DEV_0652&SUBSYS_021E1025
PCI\VEN_10DE&DEV_0652&SUBSYS_02591025
PCI\VEN_10DE&DEV_0652&SUBSYS_02611025
PCI\VEN_10DE&DEV_0652&SUBSYS_02991025
PCI\VEN_10DE&DEV_0652&SUBSYS_11721734
PCI\VEN_10DE&DEV_0652&SUBSYS_1A121043
PCI\VEN_10DE&DEV_0652&SUBSYS_1A421043
PCI\VEN_10DE&DEV_0652&SUBSYS_20211043
PCI\VEN_10DE&DEV_0652&SUBSYS_20231043
PCI\VEN_10DE&DEV_0652&SUBSYS_20241043
PCI\VEN_10DE&DEV_0652&SUBSYS_20251043
PCI\VEN_10DE&DEV_0652&SUBSYS_202C1043
PCI\VEN_10DE&DEV_0652&SUBSYS_300C1509
PCI\VEN_10DE&DEV_0652&SUBSYS_3610103C
PCI\VEN_10DE&DEV_0652&SUBSYS_361B103C"
GeForce GT 140,PCI\VEN_10DE&DEV_0627
GeForce GT 220,"PCI\VEN_10DE&DEV_0A20
PCI\VEN_10DE&DEV_0A20&SUBSYS_19101462
PCI\VEN_10DE&DEV_0A20&SUBSYS_19111462
PCI\VEN_10DE&DEV_0CA5
PCI\VEN_10DE&DEV_0CAC"
GeForce GT 220M,"PCI\VEN_10DE&DEV_0649&SUBSYS_202D1043
PCI\VEN_10DE&DEV_0654
PCI\VEN_10DE&DEV_0654&SUBSYS_10CA17C0
PCI\VEN_10DE&DEV_0654&SUBSYS_1AD21043
PCI\VEN_10DE&DEV_0654&SUBSYS_20351043
PCI\VEN_10DE&DEV_0654&SUBSYS_20391043
PCI\VEN_10DE&DEV_0654&SUBSYS_203B1043"
GeForce GT 230,"PCI\VEN_10DE&DEV_0603
PCI\VEN_10DE&DEV_0621
PCI\VEN_10DE&DEV_0A28&SUBSYS_903B1B0A"
GeForce GT 230M,"PCI\VEN_10DE&DEV_0A28&SUBSYS_08071854
PCI\VEN_10DE&DEV_0A28&SUBSYS_0815152D
PCI\VEN_10DE&DEV_0A28&SUBSYS_20311043
PCI\VEN_10DE&DEV_0A28&SUBSYS_363C103C
PCI\VEN_10DE&DEV_0A28&SUBSYS_363E103C
PCI\VEN_10DE&DEV_0A28&SUBSYS_88971033
PCI\VEN_10DE&DEV_0A28&SUBSYS_90721071
PCI\VEN_10DE&DEV_0A2A&SUBSYS_00011179
PCI\VEN_10DE&DEV_0A2A&SUBSYS_10CA17C0"
GeForce GT 240,"PCI\VEN_10DE&DEV_0CA3
PCI\VEN_10DE&DEV_0CA3&SUBSYS_069D10DE
PCI\VEN_10DE&DEV_0CA3&SUBSYS_39261642"
GeForce GT 240M,PCI\VEN_10DE&DEV_0A34&SUBSYS_39281642
GeForce GT 320,"PCI\VEN_10DE&DEV_0CA2
PCI\VEN_10DE&DEV_0CA2&SUBSYS_19141462
PCI\VEN_10DE&DEV_0CA2&SUBSYS_191510DE
PCI\VEN_10DE&DEV_0CA2&SUBSYS_19171462
PCI\VEN_10DE&DEV_0CA2&SUBSYS_19181462"
GeForce GT 330,"PCI\VEN_10DE&DEV_0410
PCI\VEN_10DE&DEV_0410&SUBSYS_90761B0A
PCI\VEN_10DE&DEV_0CA0
PCI\VEN_10DE&DEV_0CA0&SUBSYS_39261642
PCI\VEN_10DE&DEV_0CA7"
GeForce GT 335M,PCI\VEN_10DE&DEV_0CAF&SUBSYS_078210DE
GeForce GT 340,PCI\VEN_10DE&DEV_0CA4
GeForce GT 415,PCI\VEN_10DE&DEV_0A32
GeForce GT 415M,"PCI\VEN_10DE&DEV_0DEE&SUBSYS_03701025
PCI\VEN_10DE&DEV_0DEE&SUBSYS_03711025
PCI\VEN_10DE&DEV_0DEE&SUBSYS_03741025
PCI\VEN_10DE&DEV_0DEE&SUBSYS_03751025
PCI\VEN_10DE&DEV_0DEE&SUBSYS_037C1025
PCI\VEN_10DE&DEV_0DEE&SUBSYS_037D1025
PCI\VEN_10DE&DEV_0DEE&SUBSYS_04171025
PCI\VEN_10DE&DEV_0DEE&SUBSYS_04231025
PCI\VEN_10DE&DEV_0DEE&SUBSYS_055A1025"
GeForce GT 420,"PCI\VEN_10DE&DEV_0DE2
PCI\VEN_10DE&DEV_0DE2&SUBSYS_1162174B
PCI\VEN_10DE&DEV_0DE2&SUBSYS_2162174B
PCI\VEN_10DE&DEV_0DE2&SUBSYS_90831B0A"
GeForce GT 420M,"PCI\VEN_10DE&DEV_0DF1&SUBSYS_035A1025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_036C1025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_036D1025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_03701025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_03711025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_03741025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_03751025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_037C1025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_037D1025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_04171025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_041E1025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_04231025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_04341025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_04641025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_04871025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_04881025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_04991025
PCI\VEN_10DE&DEV_0DF1&SUBSYS_049A1025"
GeForce GT 425M,"PCI\VEN_10DE&DEV_0DF0&SUBSYS_04631025
PCI\VEN_10DE&DEV_0DF0&SUBSYS_907C1B0A
PCI\VEN_10DE&DEV_0DF0&SUBSYS_909A1B0A"
GeForce GT 430,"PCI\VEN_10DE&DEV_0DE1
PCI\VEN_10DE&DEV_0DE1&SUBSYS_C0001458"
GeForce GT 435M,PCI\VEN_10DE&DEV_0DF2&SUBSYS_5162174B
GeForce GT 440,"PCI\VEN_10DE&DEV_0DC0
PCI\VEN_10DE&DEV_0DC0&SUBSYS_082D10DE
PCI\VEN_10DE&DEV_0DC0&SUBSYS_1178174B
PCI\VEN_10DE&DEV_0DC0&SUBSYS_2178174B
PCI\VEN_10DE&DEV_0DC0&SUBSYS_23111462
PCI\VEN_10DE&DEV_0DC0&SUBSYS_23121462
PCI\VEN_10DE&DEV_0DC0&SUBSYS_082D10DE
PCI\VEN_10DE&DEV_0DE0
PCI\VEN_10DE&DEV_0DE0&SUBSYS_C0001458"
GeForce GT 445M,"PCI\VEN_10DE&DEV_0DD2&SUBSYS_046C1028
PCI\VEN_10DE&DEV_0DD2&SUBSYS_04911028
PCI\VEN_10DE&DEV_0DD2&SUBSYS_0854152D"
GeForce GT 520,"PCI\VEN_10DE&DEV_0DE4
PCI\VEN_10DE&DEV_1040
PCI\VEN_10DE&DEV_1040&SUBSYS_091510DE
PCI\VEN_10DE&DEV_1040&SUBSYS_3214174B
PCI\VEN_10DE&DEV_1040&SUBSYS_90AA1B0A
PCI\VEN_10DE&DEV_1040&SUBSYS_C0001458"
GeForce GT 520M,"PCI\VEN_10DE&DEV_0DED&SUBSYS_0DBD105B
PCI\VEN_10DE&DEV_0DF7&SUBSYS_04881025
PCI\VEN_10DE&DEV_0DF7&SUBSYS_05051025
PCI\VEN_10DE&DEV_0DF7&SUBSYS_05071025
PCI\VEN_10DE&DEV_0DF7&SUBSYS_05091025
PCI\VEN_10DE&DEV_0DF7&SUBSYS_05121025
PCI\VEN_10DE&DEV_0DF7&SUBSYS_053A1025
PCI\VEN_10DE&DEV_0DF7&SUBSYS_055A1025
PCI\VEN_10DE&DEV_0DF7&SUBSYS_060D1025
PCI\VEN_10DE&DEV_0DF7&SUBSYS_06111025
PCI\VEN_10DE&DEV_1050
PCI\VEN_10DE&DEV_1050&SUBSYS_04871025
PCI\VEN_10DE&DEV_1050&SUBSYS_04881025
PCI\VEN_10DE&DEV_1050&SUBSYS_05011025
PCI\VEN_10DE&DEV_1050&SUBSYS_05031025
PCI\VEN_10DE&DEV_1050&SUBSYS_05051025
PCI\VEN_10DE&DEV_1050&SUBSYS_05071025
PCI\VEN_10DE&DEV_1050&SUBSYS_05091025
PCI\VEN_10DE&DEV_1050&SUBSYS_05121025
PCI\VEN_10DE&DEV_1050&SUBSYS_053A1025
PCI\VEN_10DE&DEV_1050&SUBSYS_054E1025
PCI\VEN_10DE&DEV_1050&SUBSYS_05501025
PCI\VEN_10DE&DEV_1050&SUBSYS_055A1025
PCI\VEN_10DE&DEV_1050&SUBSYS_055C1025
PCI\VEN_10DE&DEV_1050&SUBSYS_05681025
PCI\VEN_10DE&DEV_1050&SUBSYS_056A1025
PCI\VEN_10DE&DEV_1050&SUBSYS_056B1025
PCI\VEN_10DE&DEV_1050&SUBSYS_056C1025
PCI\VEN_10DE&DEV_1050&SUBSYS_05701025
PCI\VEN_10DE&DEV_1050&SUBSYS_05721025
PCI\VEN_10DE&DEV_1050&SUBSYS_05731025
PCI\VEN_10DE&DEV_1050&SUBSYS_05741025
PCI\VEN_10DE&DEV_1050&SUBSYS_05751025
PCI\VEN_10DE&DEV_1050&SUBSYS_05761025
PCI\VEN_10DE&DEV_1050&SUBSYS_05781025
PCI\VEN_10DE&DEV_1050&SUBSYS_05791025
PCI\VEN_10DE&DEV_1050&SUBSYS_05791028
PCI\VEN_10DE&DEV_1050&SUBSYS_057A1025
PCI\VEN_10DE&DEV_1050&SUBSYS_057B1025
PCI\VEN_10DE&DEV_1050&SUBSYS_05801025
PCI\VEN_10DE&DEV_1050&SUBSYS_05811025
PCI\VEN_10DE&DEV_1050&SUBSYS_058B1025
PCI\VEN_10DE&DEV_1050&SUBSYS_058C1025
PCI\VEN_10DE&DEV_1050&SUBSYS_05931025
PCI\VEN_10DE&DEV_1050&SUBSYS_060D1025
PCI\VEN_10DE&DEV_1050&SUBSYS_060F1025
PCI\VEN_10DE&DEV_1050&SUBSYS_06111025
PCI\VEN_10DE&DEV_1050&SUBSYS_0A9116F3
PCI\VEN_10DE&DEV_1050&SUBSYS_0C9F16F3
PCI\VEN_10DE&DEV_1050&SUBSYS_105016F3
PCI\VEN_10DE&DEV_1050&SUBSYS_365217AA"
GeForce GT 520MX,"PCI\VEN_10DE&DEV_1051&SUBSYS_08921854
PCI\VEN_10DE&DEV_1051&SUBSYS_10941462
PCI\VEN_10DE&DEV_1051&SUBSYS_17621043
PCI\VEN_10DE&DEV_1051&SUBSYS_17971854
PCI\VEN_10DE&DEV_1051&SUBSYS_30061854
PCI\VEN_10DE&DEV_1051&SUBSYS_300C1854
PCI\VEN_10DE&DEV_1051&SUBSYS_30111854
PCI\VEN_10DE&DEV_1051&SUBSYS_C0B6144D
PCI\VEN_10DE&DEV_1051&SUBSYS_C0B7144D
PCI\VEN_10DE&DEV_1051&SUBSYS_C606144D"
GeForce GT 525M,"PCI\VEN_10DE&DEV_0DF5&SUBSYS_05111028
PCI\VEN_10DE&DEV_0DF5&SUBSYS_05121028"
GeForce GT 530,"PCI\VEN_10DE&DEV_0DE5
PCI\VEN_10DE&DEV_0DE5&SUBSYS_3A261642
PCI\VEN_10DE&DEV_0DE5&SUBSYS_7162174B
PCI\VEN_10DE&DEV_0DE5&SUBSYS_90A31B0A"
GeForce GT 540M,"PCI\VEN_10DE&DEV_0DF4&SUBSYS_03711025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_037D1025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_041E1025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_04341025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_04871025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_04881025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05001025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05011025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05021025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05031025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05041025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05051025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05061025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05071025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05081025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05091025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05111025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05121025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_054E1025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05501025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_055A1025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_055C1025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05641025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05651025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05661025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05681025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_056B1025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05701025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05721025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05731025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05741025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05751025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05761025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05781025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05791025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_057A1025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_057B1025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05801025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_05811025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_058B1025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_058C1025
PCI\VEN_10DE&DEV_0DF4&SUBSYS_849E1043"
GeForce GT 545,"PCI\VEN_10DE&DEV_1241
PCI\VEN_10DE&DEV_1241&SUBSYS_091D10DE
PCI\VEN_10DE&DEV_1243
PCI\VEN_10DE&DEV_1243&SUBSYS_23151462
PCI\VEN_10DE&DEV_1243&SUBSYS_5178174B
PCI\VEN_10DE&DEV_1243&SUBSYS_6178174B"
