GPUName,DeviceID
GeForce 6800 GS,"PCI\VEN_10DE&DEV_0047
PCI\VEN_10DE&DEV_00C0"
GeForce 6800 GS/XT,PCI\VEN_10DE&DEV_00F6
GeForce 6800 GT,"PCI\VEN_10DE&DEV_0045
PCI\VEN_10DE&DEV_0215"
GeForce 6800 LE,"PCI\VEN_10DE&DEV_0042
PCI\VEN_10DE&DEV_00C2
PCI\VEN_10DE&DEV_0212"
GeForce 6800 Series GPU,PCI\VEN_10DE&DEV_00F9
GeForce 6800 Ultra,PCI\VEN_10DE&DEV_0040
GeForce 6800 XE,PCI\VEN_10DE&DEV_0043
GeForce 6800 XT,"PCI\VEN_10DE&DEV_0044
PCI\VEN_10DE&DEV_0048
PCI\VEN_10DE&DEV_00C3
PCI\VEN_10DE&DEV_0218"
GeForce 7025 / NVIDIA nForce 630a,"PCI\VEN_10DE&DEV_03D6
PCI\VEN_10DE&DEV_053E"
GeForce 7050 / NVIDIA nForce 610i,PCI\VEN_10DE&DEV_07E3
GeForce 7050 / NVIDIA nForce 620i,PCI\VEN_10DE&DEV_07E5
GeForce 7050 / NVIDIA nForce 630i,PCI\VEN_10DE&DEV_07E2
GeForce 7050 PV / NVIDIA nForce 630a,"PCI\VEN_10DE&DEV_053A
PCI\VEN_10DE&DEV_053B"
GeForce 705A,"PCI\VEN_10DE&DEV_105B&SUBSYS_2AFB103C
PCI\VEN_10DE&DEV_105B&SUBSYS_309D17AA
PCI\VEN_10DE&DEV_105B&SUBSYS_30F317AA
PCI\VEN_10DE&DEV_1140&SUBSYS_368717AA"
GeForce 705M,"PCI\VEN_10DE&DEV_105B&SUBSYS_90C81B0A
PCI\VEN_10DE&DEV_105B&SUBSYS_90CD1B0A
PCI\VEN_10DE&DEV_105B&SUBSYS_90CE1B0A
PCI\VEN_10DE&DEV_105B&SUBSYS_90D01B0A
PCI\VEN_10DE&DEV_105B&SUBSYS_AA631462
PCI\VEN_10DE&DEV_105B&SUBSYS_AA831462
PCI\VEN_10DE&DEV_105B&SUBSYS_AA861462
PCI\VEN_10DE&DEV_105B&SUBSYS_AC131462
PCI\VEN_10DE&DEV_105B&SUBSYS_AC791462
PCI\VEN_10DE&DEV_105B&SUBSYS_AC7E1462
PCI\VEN_10DE&DEV_105B&SUBSYS_AC931462
PCI\VEN_10DE&DEV_105B&SUBSYS_AC961462
PCI\VEN_10DE&DEV_1140&SUBSYS_365A17AA
PCI\VEN_10DE&DEV_1140&SUBSYS_500517AA
PCI\VEN_10DE&DEV_1140&SUBSYS_503017AA
PCI\VEN_10DE&DEV_1140&SUBSYS_503117AA"
GeForce 7100 / NVIDIA nForce 630i,PCI\VEN_10DE&DEV_07E1
GeForce 7100 GS,PCI\VEN_10DE&DEV_016A
